Strain,Mean Intensity
SUB1,536.8631727999995
CUE1,1479.0533373600003
GCN4,785.7306684200014
RPS0A,391.64883784
YKL169C,726.8809757999999
YPR170C,663.0987439599994
RPS8A,632.7272110599998
MRPL17,740.0816251599999
YOL162W,779.5260659000003
YJR011C,612.5195745600006
SAP190,662.7288209999997
RPL27B,663.8286582799989
RPL13A,771.8006290600002
DHH1,542.3788494399998
PRE7,425.60412258000014
SCL1,1245.61932938
RPS16A,335.01778748000015
TSR3,408.4840509999998
SLM6,568.4069085400001
CEM1,553.3769102
TMA19,523.2323546599997
VPS4,582.8076963599993
NUP170,557.9655676600001
INO4,1364.6172303
OPI3,1040.7589001599997
DOM34,568.1470503399992
RPL16B,766.6811958799996
CCW12,795.1433481000005
RPS16B,473.84380757999975
BOL1-Control,872.3673275800002
YBL073W,493.6043174999998
SPC3,185.37694476000024
UBR2,540.56463738
MET22,425.2290283999996
YEL045C,640.5842097999997
SRO9,428.8294027799996
RPS22B,620.4339580799999
LDB7,470.40603264000015
GCR2,387.56063308000006
SRO7,112.82678313999928
VPS25,642.7898632399999
ASI3-Control,896.8799578199993
TPM1,776.1851256399999
VAN1,661.6943137800001
SIT4,441.58542586000044
YBL071C-B,517.5792634
CCT4,396.31790654000025
YLR198C,401.24240658000053
RPS0B,384.0084837800006
YNL338W-Control,677.4628251599992
GLY1,605.0926615799998
RPL8A,723.9625749399992
ACO2,584.6937729999999
PDR3-Control,910.3970031999988
YNL198C,409.3604576600004
PEP8,685.8299783400001
MEF2,790.8901368400003
FUR4,573.2670235199997
RPL19A,676.8362120400002
VPS52,774.2377010399996
EMP65,453.7626076599995
YAL016C-B,965.237808559999
YDL152W,676.7504586399997
OST2,628.0662149399999
ECM5,623.9288586600009
SHE4,404.54676361999987
RRG1,589.4495282800005
PRE9,1096.2986105200005
NKP2,661.9669363999997
HOP2,200.16824987999945
KRE6,262.9591425999978
THP3,794.903299119999
RIC1,489.32464522000055
RPS9B,652.6351783199999
HPM1,641.4081049599989
GPM2,508.5370168200002
SPT20,497.19143288000015
NHP2,587.5153630399996
RPC40,663.0209699800007
USA1,1029.8879103600011
TYE7,462.0193326999999
OCA6,113.06191634
RPL24B,579.7003445400001
VPS65,479.2403630599994
SLA1,753.9871196200007
ZUO1,446.23846025999995
RPS7A,392.1897755600005
RPL13B,648.0039507799997
HMO1,444.3102332400004
RIM1,868.0230191599991
POP2,609.5307235200002
YER156C,538.2995786799999
KTI11,575.95914154
SEC1,517.0216816199995
RPA43,530.6590069999999
ADD37,415.6715426599998
PHO80,477.7306011799999
CAN1,676.9651002000006
SPE1,1448.9868567000008
RPL39,1039.0073901799992
QCR2,676.0849356000006
ICE2,702.4874548399991
RPS19A,605.3558679400006
MRPL8,867.7968435599987
MET18,571.9652598399998
RAM1,653.7895724999996
PUF6,730.9820436599996
OPI9,719.7186338999998
SUS1,1297.2668148999996
MEX67-Control,841.8756257399997
RET3,518.68177118
RPS17A,343.7927690800002
SIN3,1523.8112373400008
NSR1,322.5949531400001
ARP8,465.6319136000001
RPS29A,511.7527226600002
EGD1,720.7850217999993
SAC1,625.4525887200009
BRR1,732.1153364000004
LAS21,863.4908806200001
FLX1,904.9310826800004
BMT2-Control,945.951545619999
RPL37B,831.3915899400006
RPS27B,359.80653850000033
YBR196C-A,801.23757898
SPC19,899.3561291800002
SEC12,493.09821768000006
BUD28,1093.4935038599997
YAR1,516.8354871200003
YGR160W,461.8031840800003
YLR184W,578.3827513600007
BUD19,713.4755473000005
PIM1,823.5639177199987
SUR2-Control,954.8764475199997
YMC1,798.02283116
HIT1,594.930404919999
SPT4,773.6707211000002
YDR442W,897.7859304600004
RTC6,781.7894917999994
ANP1,495.23399295999985
TIM11,485.2062921600006
TIF5,568.2383487000002
YNR046W,416.36459168000005
SND2,457.9454655400003
RPS6B,381.95780866
NVJ1-Control,885.7022691800003
HRD3,1110.3300133400012
YLR402W,808.0811625400003
MRPL16,864.4919196199994
DOA1,1019.2544782399999
SPE3,837.6109703
YML010C-B,736.0744592200008
RPS11B,611.8616917999998
RPS7B,673.0990745600009
RPL43A,848.4349373999997
YGR272C,547.7869115799997
YGL188,510.60985913999997
EFB1,521.9897973
AVO1,818.3246024399999
YNR014W,444.83961760000057
RRP8,483.6253763400004
CHZ1,649.4401142199996
BFR1,317.68118126
HXK2,601.2064334999998
AFT1,832.0881219199997
BUD27,701.2750737999997
NEM1,845.5155977200005
GGC1,411.6088412199993
VPS27,704.7972061799996
RPS17B,707.7953100600001
MNN10,652.6102453600001
YMR242W-A,528.9416256000004
NOP1,415.64282240000034
SAR1,763.321182019999
RPS10B,473.7249294000002
BEM1,534.80951288
EDC2,811.5771713800001
DID4,609.8019626200002
NGG1,466.94961291999755
DBP3,676.9836043400002
AIM29,930.429508619999
HTD2,766.0566066799996
RPS14A,605.7863507799999
YJL175W,751.3819435999989
ADA2,1537.8934914400013
RPS29B,423.59669139999943
GCN5,582.3687662599998
EFG1,417.9852863999999
YDR339C,524.9463536600001
FAS2-Control,664.1770882000001
UBC7,1790.3968847999995
PDB1,634.0125508999988
LDB16,1430.5627000000072
RPL14A,891.60408498
RPS28B,559.7706269800002
MRPS16,882.9950930400004
YKR047W,767.6255013800005
MUB1,764.6389953999992
RPP1B,719.6288598800007
RPL17B,758.8228730400001
RPS18A,511.24035881999987
IDP1-Control,950.6360920400003
YGL188C-A,378.56083482000054
TIF35,1335.8124074000054
YPL238C,341.0485109599999
RPL20A,403.9782077800005
INO2,1234.1738631600008
STP22,655.0209355999996
MCT1,727.9050616399995
YPL080C,703.3302198400005
GUP1,744.8859056999991
NAP1,690.3066607999999
PHO84-Control,972.2582068999986
CYS3,492.10088362
HCR1,724.1484144999995
ARC1,632.3965546000003
YPL183W,603.1504753000002
YDR526C,529.2127914999999
None,177.52062566000018
IFM1,654.33072608
BEM4,701.65857696
GLN3,569.1762215399999
YKL136W Control,946.9309055400004
YLR287C-A-Control,540.9824006799997
YNL235C,756.1612765799998
LOC1,737.1007232999993
SSZ1,547.8707888200005
MOG1,723.4602505800004
FPR1,734.8593426000003
YLR358C,828.5448859200005
VAM6,519.1449273600001
PAF1,751.2327440999993
YKL169C-B,521.4095335600002
SPB4,629.22737342
OPI10,839.8082702200011
TGS1,747.6707353199995
LRP1,667.0637692199996
IRC13,540.4566891600001
VPS28,696.8199282999996
YNL234W,906.0340346399998
COQ3,1019.6523967200005
LSM1,744.2932508399994
FYV1,506.4149758600001
FYV6,621.6860449199997
EXO5,929.8366433999998
RPP1A,604.5143295799996
CTK2,1742.1753015999989
ERI1,550.2129979000002
SAD1,524.9015537000002
